date,open,high,low,close,volume,amount
2025-08-04,1359.14,1363.75,1358.18,1362.99,1868795.0,2647105740.0
2025-08-05,1364.91,1373.49,1361.17,1371.38,2534227.0,3607931488.0
2025-08-06,1372.59,1372.59,1363.27,1367.67,2369928.0,3372334940.0
2025-08-07,1367.67,1371.34,1364.0,1366.2,2800134.0,3988765795.0
2025-08-08,1366.88,1370.19,1362.02,1364.88,1865528.0,2651478118.0
2025-08-11,1367.31,1394.67,1366.83,1387.96,4715907.0,6794034090.0
2025-08-12,1391.8,1407.24,1379.31,1380.31,4201923.0,6095342036.0
2025-08-13,1368.75,1377.09,1363.95,1363.99,6552754.0,9325460101.0
2025-08-14,1364.85,1390.37,1364.85,1370.66,4812930.0,6897535330.0
2025-08-15,1369.72,1372.26,1364.16,1365.94,4758165.0,6772436997.0
2025-08-18,1370.66,1379.93,1366.92,1372.11,4737798.0,6773477871.0
2025-08-19,1376.91,1389.55,1375.47,1381.24,4637186.0,6678541001.0
2025-08-20,1381.24,1395.45,1373.57,1392.76,4580466.0,6623095725.0
2025-08-21,1396.08,1397.55,1386.66,1391.08,3089057.0,4470441662.0
2025-08-22,1391.69,1406.21,1387.74,1406.16,4497058.0,6544867368.0
2025-08-25,1411.98,1436.95,1408.13,1431.5,6532455.0,9676719498.0
2025-08-26,1431.49,1435.25,1421.59,1423.12,3960213.0,5883917000.0
2025-08-27,1423.38,1426.31,1390.84,1390.84,5600609.0,8184169113.0
2025-08-28,1390.81,1398.62,1381.97,1389.02,3928177.0,5683673273.0
2025-08-29,1395.64,1424.06,1394.68,1421.58,6225648.0,9159701454.0
2025-09-01,1423.69,1429.26,1407.84,1417.83,4512338.0,6658918555.0
2025-09-02,1420.29,1449.43,1419.66,1432.43,5668837.0,8470012816.0
2025-09-03,1432.14,1444.15,1408.13,1422.11,4504503.0,6656011145.0
2025-09-04,1413.89,1420.9,1402.82,1414.53,4774676.0,7017084750.0
2025-09-05,1412.93,1428.27,1406.21,1424.46,3738848.0,5519312163.0
2025-09-08,1424.46,1446.97,1419.18,1441.97,5138298.0,7682065696.0
2025-09-09,1445.59,1450.35,1434.47,1445.59,3574277.0,5366650005.0
2025-09-10,1447.18,1469.56,1436.95,1461.93,4966331.0,7541460049.0
2025-09-11,1461.93,1465.78,1448.95,1463.36,3723896.0,5642778456.0
2025-09-12,1465.76,1477.31,1450.9,1456.16,3372209.0,5132184935.0
2025-09-15,1456.03,1457.58,1442.23,1455.29,2582703.0,3901929718.0
2025-09-16,1455.29,1460.95,1437.15,1440.77,3271789.0,4928374478.0
2025-09-17,1440.78,1450.66,1431.19,1434.06,3033054.0,4534770634.0
2025-09-18,1433.1,1438.67,1405.73,1410.01,4972125.0,7347477479.0
2025-09-19,1410.04,1417.25,1399.49,1410.02,3263662.0,4784528851.0
2025-09-22,1407.26,1410.02,1392.77,1395.98,3494708.0,5085057536.0
2025-09-23,1393.24,1399.97,1383.16,1390.28,3866300.0,5588384388.0
2025-09-24,1377.46,1399.27,1377.46,1385.08,3074350.0,4443052872.0
2025-09-25,1385.87,1388.16,1379.31,1382.2,3386973.0,4873274661.0
2025-09-26,1384.29,1389.99,1371.64,1378.35,4512071.0,6480889597.0
2025-09-29,1382.56,1411.96,1378.35,1403.19,5368403.0,7798434586.0
2025-09-30,1402.37,1403.1,1383.16,1386.99,3936362.0,5687474876.0
2025-10-09,1379.31,1382.56,1363.95,1380.06,5491812.0,7845448947.0
2025-10-10,1380.85,1383.1,1371.15,1373.55,3600144.0,5157459262.0
2025-10-13,1359.82,1366.68,1359.26,1363.18,4606880.0,6533147458.0
2025-10-14,1373.54,1406.21,1373.54,1393.74,6667233.0,9639484605.0
2025-10-15,1393.7,1405.25,1388.04,1404.29,4278540.0,6233407482.0
2025-10-16,1404.21,1426.33,1401.29,1426.29,4573015.0,6749162949.0
2025-10-17,1424.55,1429.26,1396.63,1397.56,3808589.0,5594724900.0
2025-10-20,1397.56,1411.49,1397.45,1400.38,2594988.0,3793283759.0
2025-10-21,1401.41,1411.91,1398.04,1404.54,2544267.0,3727984130.0
2025-10-22,1404.36,1407.87,1398.52,1401.12,1819492.0,2657486636.0
2025-10-23,1397.56,1410.82,1390.07,1410.03,2932235.0,4274652090.0
2025-10-24,1410.0,1420.5,1392.13,1392.76,3822583.0,5578603148.0
2025-10-27,1383.16,1395.15,1379.3,1383.55,3710239.0,5352667152.0
2025-10-28,1385.08,1393.91,1384.21,1387.96,2712433.0,3923817140.0
2025-10-29,1383.18,1389.45,1373.59,1375.38,3393711.0,4868780319.0
2025-10-30,1365.68,1379.92,1365.68,1370.42,4745610.0,6768821311.0
2025-10-31,1365.87,1379.3,1364.05,1373.56,3569377.0,5109623861.0
2025-11-03,1374.51,1390.84,1364.04,1378.35,3454766.0,4945310830.0
2025-11-04,1378.45,1379.1,1367.58,1372.59,2656572.0,3793892903.0
2025-11-05,1369.6,1374.5,1363.96,1364.02,3447527.0,4908475373.0
2025-11-06,1373.55,1384.55,1373.54,1378.48,3834782.0,5505960415.0
2025-11-07,1378.46,1382.95,1374.62,1376.75,1886139.0,2704995856.0
2025-11-10,1378.35,1405.91,1378.33,1404.58,4945154.0,7181246441.0
2025-11-11,1404.29,1404.46,1389.88,1401.4,2669156.0,3882776772.0
2025-11-12,1402.35,1420.0,1401.61,1407.31,3299210.0,4849073051.0
2025-11-13,1404.4,1415.41,1400.45,1412.34,3117923.0,4569178269.0
2025-11-14,1411.97,1420.57,1398.81,1399.1,2747306.0,4031007106.0
2025-11-17,1396.6,1414.85,1388.72,1412.93,3446221.0,5035780027.0
2025-11-18,1412.64,1427.41,1411.01,1417.74,3420478.0,5055675474.0
2025-11-19,1415.81,1421.13,1411.93,1412.94,2204537.0,3249449214.0
2025-11-20,1413.89,1421.48,1407.2,1409.2,2400232.0,3531653943.0
2025-11-21,1412.45,1421.58,1398.52,1408.71,4260720.0,6259873433.0
2025-11-24,1409.09,1412.93,1393.85,1394.68,3360744.0,4901903705.0
2025-11-25,1400.45,1400.45,1387.48,1387.62,2844069.0,4119930011.0
2025-11-26,1391.69,1396.11,1386.6,1391.95,2030616.0,2938818095.0
2025-11-27,1392.28,1392.76,1382.23,1390.17,2228689.0,3216797187.0
2025-11-28,1389.4,1398.04,1386.04,1393.24,2321121.0,3366696622.0
2025-12-01,1393.72,1404.55,1385.08,1390.84,2733342.0,3961994999.0
2025-12-02,1390.84,1394.61,1378.37,1379.34,2504726.0,3607543825.0
2025-12-03,1379.13,1379.29,1371.63,1372.69,2357279.0,3370080066.0
2025-12-04,1372.69,1375.95,1362.39,1367.77,2907539.0,4134921902.0
2025-12-05,1367.77,1376.52,1363.47,1373.56,2540166.0,3622681597.0
2025-12-08,1372.78,1379.96,1362.02,1362.24,3360280.0,4789155770.0
2025-12-09,1362.25,1364.91,1344.78,1345.71,4263443.0,5995722121.0
2025-12-10,1344.74,1347.42,1328.58,1347.42,3313347.0,4625906139.0
2025-12-11,1351.13,1356.25,1346.22,1356.25,2238501.0,3149974074.0
2025-12-12,1362.02,1368.75,1357.77,1364.57,3715919.0,5273563274.0
2025-12-15,1382.76,1383.15,1369.3,1369.71,3335879.0,4774362060.0
2025-12-16,1369.9,1372.38,1359.14,1365.87,2396367.0,3403139194.0
2025-12-17,1368.75,1383.1,1361.72,1376.53,3138249.0,4489482138.0
2025-12-18,1376.91,1382.08,1369.81,1374.51,1782995.0,2551177659.0
2025-12-19,1377.4,1379.79,1368.62,1377.4,2650868.0,3733028357.0
2025-12-22,1377.4,1381.44,1374.06,1375.7,2042565.0,2881636856.0
2025-12-23,1375.7,1380.26,1364.89,1375.31,2450681.0,3445377032.0
2025-12-24,1372.51,1373.84,1367.63,1368.51,2518669.0,3533253565.0
2025-12-25,1372.52,1386.66,1368.98,1381.47,2338621.0,3299572096.0
2025-12-26,1381.47,1386.33,1377.4,1381.43,1780299.0,2520605635.0
2025-12-29,1381.43,1381.43,1368.61,1369.59,2630810.0,3694660107.0
2025-12-30,1368.61,1369.49,1353.96,1357.59,3379194.0,4702489813.0
2025-12-31,1357.86,1361.77,1345.33,1345.34,3476563.0,4799456452.0
2026-01-05,1352.98,1398.77,1352.98,1393.03,7094942.0,10018086372.0
2026-01-06,1399.43,1403.75,1383.78,1394.99,3958618.0,5649710153.0
2026-01-07,1399.75,1401.82,1387.36,1390.45,2968380.0,4234255286.0
